Country Name,Country Code,Indicator Name,Indicator Code,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011
Afghanistan,AFG,GNI per capita (constant LCU),NY.GNP.PCAP.KN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7142.700885,7940.449711,8471.672564,9452.771976,,,,,,
Afghanistan,AFG,GNI per capita (constant 2000 US$),NY.GNP.PCAP.KD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Albania,ALB,"Primary education, teachers",SE.PRM.TCHR,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12942,12551,12607,12263,11762,11653,,,,10277,11701,11409,
Albania,ALB,"Secondary education, teachers",SE.SEC.TCHR,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,22250,22280,,22424,22560,,,,24208,24069,24082,
Albania,ALB,"Expenditure per student, primary (% of GDP per capita)",SE.XPD.PRIM.PC.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7.77695,,,,,,,,,
Albania,ALB,"Expenditure per student, secondary (% of GDP per capita)",SE.XPD.SECO.PC.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Albania,ALB,"Expenditure per student, tertiary (% of GDP per capita)",SE.XPD.TERT.PC.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,36.58375,,,,,,,,,
Albania,ALB,"Health expenditure, total (% of GDP)",SH.XPD.TOTL.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.214736335,4.04188609,4.806430383,5.338640181,5.833765794,6.35004376,6.044853914,6.259693388,6.163814692,6.883454444,6.840532168,6.731866827,6.877241848,6.748861009,6.883064977,6.547297762,
Albania,ALB,Present value of external debt (% of GNI),DT.DOD.PVLX.GN.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,29.51882417,
Albania,ALB,Interest payments on external debt (% of GNI),DT.INT.DECT.GN.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.247434671,0.296915496,0.249903104,0.512339333,0.357441098,0.25014442,0.370688044,0.360456341,0.247749631,0.292706622,0.295333368,0.515450315,0.323327936,0.30151653,0.348443093,0.499488216,0.549870106,0.519268591,0.765372451,0.73043423,
Albania,ALB,External debt stocks (% of GNI),DT.DOD.DECT.GN.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,45.77183462,92.94160206,64.63716229,44.3626385,18.59163708,16.07066875,23.24617007,22.81742439,20.54579683,28.21910805,26.05736312,24.61648863,25.65505876,20.35392862,24.05404772,25.9166498,25.93288237,29.71839918,39.31670854,40.54086756,
Albania,ALB,Total debt service (% of GNI),DT.TDS.DECT.GN.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.319293637,0.296915496,0.66369462,0.918433182,0.42214677,0.690757753,1.07902503,0.776469585,0.683457124,0.739905356,0.909462489,1.311064218,0.984623516,0.985110936,0.940527058,2.187717721,1.388649937,1.247787082,1.900580724,3.976098216,
Albania,ALB,GNI per capita (constant LCU),NY.GNP.PCAP.KN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,69079.64761,63763.88453,72338.11058,80309.77494,93466.40116,103573.0046,93470.92873,105807.3159,116295.0033,126202.383,135858.9131,138343.4118,145659.8024,152594.3899,159277.9947,168020.9921,177789.3904,187445.1557,187560.911,193514.7862,
Albania,ALB,GNI per capita (constant 2000 US$),NY.GNP.PCAP.KD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,675.4239612,623.4492642,707.2834747,785.2261583,913.8646344,1012.681614,913.9089026,1034.527518,1137.070534,1233.93961,1328.356013,1352.648116,1424.183882,1491.986581,1557.335305,1642.819673,1738.329863,1832.738787,1833.87058,1892.084398,
Algeria,DZA,"Primary education, teachers",SE.PRM.TCHR,,,,,,,,,,47178,,,,,65043,70498,77009,80853,85499,88481,94216,100288,109173,115242,125034,133250,139875,139917,144945,151262,154685,161802,164982,166771,169010,170956,,169519,170562,169559,170039,167529,170031,171471,171402,170775,169701,141421,141994,
Algeria,DZA,"Secondary education, teachers",SE.SEC.TCHR,,,,,,,,,,11487,,,,16656,19764,22605,27764,32621,37269,41137,47771,,61961,69466,82218,94460,105088,113099,120722,127024,131232,135730,143887,146792,150397,151948,,,,,,170252,176375,,,,,,,
Algeria,DZA,"Expenditure per student, primary (% of GDP per capita)",SE.XPD.PRIM.PC.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11.97508,9.73686,10.05919,10.78967,11.32475,,,,,,,,
Algeria,DZA,"Expenditure per student, secondary (% of GDP per capita)",SE.XPD.SECO.PC.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,17.13736,17.16166,,,,,,,,
Algeria,DZA,"Expenditure per student, tertiary (% of GDP per capita)",SE.XPD.TERT.PC.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Algeria,DZA,"Health expenditure, total (% of GDP)",SH.XPD.TOTL.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.173543181,3.788035203,4.060304704,4.063201467,3.868854205,3.489032788,3.837876961,3.64972555,3.634494338,3.717183492,3.540575343,3.129453732,3.534484765,3.733192523,4.576056069,4.172062839,
Algeria,DZA,Present value of external debt (% of GNI),DT.DOD.PVLX.GN.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.025005791,
Algeria,DZA,Interest payments on external debt (% of GNI),DT.INT.DECT.GN.ZS,,,,,,,,,0.213709161,0.327389378,0.765844978,0.79514241,1.671028411,1.40953348,1.995288001,2.553044511,3.049667687,4.632958919,3.780540638,4.095136571,3.666674774,2.9654006,2.904329525,2.706826453,2.545200233,2.504292637,3.427749715,3.513049451,3.376910516,4.474046202,4.554055244,3.703433917,3.831684369,4.628487071,4.753602578,4.457017563,4.312658136,3.90507466,3.177538629,2.653525436,2.222222776,1.661741033,1.268855831,0.947324207,0.555483069,0.166841841,0.11261761,0.099241616,0.071332436,
Algeria,DZA,External debt stocks (% of GNI),DT.DOD.DECT.GN.ZS,,,,,,,,,19.81373258,25.03342404,22.99578118,34.62512705,25.62025367,30.12096639,35.10756499,51.42580702,61.01950506,57.55388492,47.05823182,42.62641396,40.18600117,34.40242446,30.42900673,32.39135607,36.37496878,37.43876749,45.69029672,50.67688618,46.94678863,65.49509813,59.65742807,54.51578536,74.10826973,83.51918029,75.8286359,67.24106685,66.44571096,60.42277729,48.74856975,42.19660994,41.64944381,36.04306807,27.24990081,17.346858,5.077601403,4.408577774,3.497329568,3.886024488,3.392045756,
Algeria,DZA,Total debt service (% of GNI),DT.TDS.DECT.GN.ZS,,,,,,,,,0.942732815,1.372279511,2.819548191,3.490639877,5.414319601,3.049713283,4.520745376,5.687690036,6.554026316,9.495233841,9.925515567,10.01688277,10.39640785,9.927438406,9.79885076,8.874577918,8.275164964,8.352591091,11.46448583,13.02838169,14.68500817,21.07465637,20.35421082,18.86733639,12.5383477,10.74050421,9.494769793,9.613238664,11.10939546,11.20975277,8.579698384,8.185640382,7.602368246,6.585502483,7.04208415,6.146855141,11.90835175,1.004096486,0.736177369,0.728918412,0.439530067,
Algeria,DZA,GNI per capita (constant LCU),NY.GNP.PCAP.KN,4203.369595,5267.095805,5389.325294,5504.961197,5074.204887,5450.1463,5895.138956,6259.835003,6515.957548,5659.039011,7019.328625,7042.243524,7347.965488,7446.082244,7776.138688,7929.692668,8356.270256,8599.451066,8394.119082,8354.171374,8607.453274,8815.499718,9007.991522,9064.508157,8903.387576,8602.02661,8223.042248,8368.098314,8217.737633,7817.958788,7807.270082,7538.02476,7280.612865,7349.650883,7496.601973,7507.327844,7822.748422,7923.124041,7916.728779,8143.755643,8351.337148,8778.676285,9069.667401,9279.731005,9402.389333,9794.191323,,,,
Algeria,DZA,GNI per capita (constant 2000 US$),NY.GNP.PCAP.KD,905.6117332,1134.790471,1161.124691,1186.038329,1093.232317,1174.228515,1270.101733,1348.675128,1403.856472,1219.234238,1512.307262,1517.244253,1583.111742,1604.250898,1675.361225,1708.444275,1800.349986,1852.743046,1808.504477,1799.897784,1854.467113,1899.290509,1940.762674,1952.939126,1918.225859,1853.297944,1771.646146,1802.898329,1770.503272,1684.371324,1682.068453,1624.05982,1568.600687,1583.474858,1615.135322,1617.4462,1685.403245,1707.029071,1705.651218,1754.563927,1799.287152,1891.356938,1954.05068,1999.308671,2025.735284,2110.148627,,,,
American Samoa,ASM,"Primary education, teachers",SE.PRM.TCHR,,,,,,,,,,350,330,328,,,302,310,,,,,395,,346,359,454,463,503,469,461,475,524,,,,,,,,,,,,,,,,,,,
American Samoa,ASM,"Secondary education, teachers",SE.SEC.TCHR,,,,,,,,,,120,120,125,125,125,125,125,129,129,129,,132,140,145,149,203,228,231,218,222,230,266,,,,,,,,,,,,,,,,,,,
American Samoa,ASM,"Expenditure per student, primary (% of GDP per capita)",SE.XPD.PRIM.PC.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
American Samoa,ASM,"Expenditure per student, secondary (% of GDP per capita)",SE.XPD.SECO.PC.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
American Samoa,ASM,"Expenditure per student, tertiary (% of GDP per capita)",SE.XPD.TERT.PC.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
American Samoa,ASM,"Health expenditure, total (% of GDP)",SH.XPD.TOTL.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
American Samoa,ASM,Present value of external debt (% of GNI),DT.DOD.PVLX.GN.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
American Samoa,ASM,Interest payments on external debt (% of GNI),DT.INT.DECT.GN.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
American Samoa,ASM,External debt stocks (% of GNI),DT.DOD.DECT.GN.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
American Samoa,ASM,Total debt service (% of GNI),DT.TDS.DECT.GN.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
American Samoa,ASM,GNI per capita (constant LCU),NY.GNP.PCAP.KN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
American Samoa,ASM,GNI per capita (constant 2000 US$),NY.GNP.PCAP.KD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Andorra,ADO,"Primary education, teachers",SE.PRM.TCHR,,,,,,,,,,,,,,142,,,,,,,,355,,,,,,,,,,,,,,,,,,,324,343,337,356,413,432,448,433,453,
Andorra,ADO,"Secondary education, teachers",SE.SEC.TCHR,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,409,440,460,482,,,,,,
Andorra,ADO,"Expenditure per student, primary (% of GDP per capita)",SE.XPD.PRIM.PC.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9.12879,9.71622,9.95121,9.41827,12.03954,12.08287,,15.21899,,
Andorra,ADO,"Expenditure per student, secondary (% of GDP per capita)",SE.XPD.SECO.PC.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7.1291,7.82093,8.36732,8.79499,12.27574,13.46356,,17.23521,,
Andorra,ADO,"Expenditure per student, tertiary (% of GDP per capita)",SE.XPD.TERT.PC.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,35.6186,27.20446,21.73818,18.09629,36.27816,,,,,
Andorra,ADO,"Health expenditure, total (% of GDP)",SH.XPD.TOTL.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.444738584,8.029189043,8.026649013,9.847285163,7.352159924,7.585248606,6.792217876,7.044590834,7.12029464,7.111579906,7.224214742,7.443895489,7.553073696,7.544589603,7.522053996,7.522876087,
Andorra,ADO,Present value of external debt (% of GNI),DT.DOD.PVLX.GN.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Andorra,ADO,Interest payments on external debt (% of GNI),DT.INT.DECT.GN.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Andorra,ADO,External debt stocks (% of GNI),DT.DOD.DECT.GN.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Andorra,ADO,Total debt service (% of GNI),DT.TDS.DECT.GN.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Andorra,ADO,GNI per capita (constant LCU),NY.GNP.PCAP.KN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Andorra,ADO,GNI per capita (constant 2000 US$),NY.GNP.PCAP.KD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,17539.442,,,,,,,,,,,
Angola,AGO,"Primary education, teachers",SE.PRM.TCHR,,,,,,,,,,9786,11343,12622,17831,,,,,,,,40027,32004,33521,29191,31161,30310,31658,31953,,31062,36402,,,,,,31878,,,,,,,,,,,,93379,
Angola,AGO,"Secondary education, teachers",SE.SEC.TCHR,,,,,,,,,,3814,3987,4723,,,,,,,,,,,,,,,,,,,,,,,,,,16447,18848,21818,,,,,,,,,21988,
Angola,AGO,"Expenditure per student, primary (% of GDP per capita)",SE.XPD.PRIM.PC.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.21768,,,,,
Angola,AGO,"Expenditure per student, secondary (% of GDP per capita)",SE.XPD.SECO.PC.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,41.68302,,,,,
Angola,AGO,"Expenditure per student, tertiary (% of GDP per capita)",SE.XPD.TERT.PC.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,72.53524,80.43032,,,,,
Angola,AGO,"Health expenditure, total (% of GDP)",SH.XPD.TOTL.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.784671533,2.164751646,2.260721177,1.855333632,1.937972771,2.408961536,3.449841683,2.364107908,2.639531245,2.086834013,1.959893461,2.415178121,2.522288421,3.190209303,4.946633361,2.850614364,
Angola,AGO,Present value of external debt (% of GNI),DT.DOD.PVLX.GN.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,22.06420658,
Angola,AGO,Interest payments on external debt (% of GNI),DT.INT.DECT.GN.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.62212252,1.744554595,1.581839196,2.920977966,2.829931595,5.44714477,3.58283553,5.80771013,3.033518571,4.731474168,3.355794751,2.3509297,1.998045984,1.619275359,1.357676931,1.008537666,1.177701368,2.288109279,1.321886464,0.725595952,0.616402089,0.264778737,
Angola,AGO,External debt stocks (% of GNI),DT.DOD.DECT.GN.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,93.64982919,104.6001091,91.34876802,286.779858,326.7325099,581.2071611,311.8603973,179.2815339,155.1230818,206.1823807,218.3070104,126.2882745,114.3559532,89.26194131,71.09713223,54.13326777,44.48534732,23.87415734,22.24053569,21.43109727,24.1968091,24.58044081,
Angola,AGO,Total debt service (% of GNI),DT.TDS.DECT.GN.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.416157905,3.967918207,3.942522417,7.084859217,4.770882998,13.33661886,12.58102206,16.90061073,15.76266733,29.29134551,30.27579421,22.8911965,30.25490457,14.7422634,12.1230809,10.84776298,9.781959311,11.14483147,8.63441509,2.354665423,5.266481117,3.077842179,
Angola,AGO,GNI per capita (constant LCU),NY.GNP.PCAP.KN,,,,,,,,,,,,,,,,,,,,,,,,157.0248091,158.9566688,170.3328493,152.007088,149.1017307,139.7665521,,,,,,,,121.6447765,,,,,,,,,,,,,
Angola,AGO,GNI per capita (constant 2000 US$),NY.GNP.PCAP.KD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,534.9157212,,,,,,,,,,,
Antigua and Barbuda,ATG,"Primary education, teachers",SE.PRM.TCHR,,,,,,,,,,,472,456,440,460,524,419,414,,,,,,,,,,,,,,,,,,,,,,695,,,,,,,538,675,695,747,
Antigua and Barbuda,ATG,"Secondary education, teachers",SE.SEC.TCHR,,,,,,,,,,,235,,326,242,313,358,370,,,,,,,,,,,,,,400,,,,,,,,394,,,,,,,,,678,694,
Antigua and Barbuda,ATG,"Expenditure per student, primary (% of GDP per capita)",SE.XPD.PRIM.PC.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7.96814,,
Antigua and Barbuda,ATG,"Expenditure per student, secondary (% of GDP per capita)",SE.XPD.SECO.PC.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12.21061,,
Antigua and Barbuda,ATG,"Expenditure per student, tertiary (% of GDP per capita)",SE.XPD.TERT.PC.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,15.30997,,
Antigua and Barbuda,ATG,"Health expenditure, total (% of GDP)",SH.XPD.TOTL.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.236859085,5.141476172,4.899080225,4.772628171,4.676056658,4.767773199,5.340823253,5.372576501,4.981828375,4.664696522,4.784791017,4.521799632,4.445126261,4.296672655,4.806065636,6.027903714,
Antigua and Barbuda,ATG,Present value of external debt (% of GNI),DT.DOD.PVLX.GN.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Antigua and Barbuda,ATG,Interest payments on external debt (% of GNI),DT.INT.DECT.GN.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Antigua and Barbuda,ATG,External debt stocks (% of GNI),DT.DOD.DECT.GN.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Antigua and Barbuda,ATG,Total debt service (% of GNI),DT.TDS.DECT.GN.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Antigua and Barbuda,ATG,GNI per capita (constant LCU),NY.GNP.PCAP.KN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Antigua and Barbuda,ATG,GNI per capita (constant 2000 US$),NY.GNP.PCAP.KD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9761.097823,,,,,,,,,,,
Arab World,ARB,"Primary education, teachers",SE.PRM.TCHR,,,,,,,,,,320611,192232,203116,218989,227091,439328,471595,493303,570045,563364,459378,595458,661460,658751,518908,742454,774634,765688,941130,671132,908130,788848,889658,840272,788750,946443,850300,922001,1147096,1168127,1217935,1252692,1169929,1123581,1210321,968942,1530144,1018777,1276814,815063,153208
Arab World,ARB,"Secondary education, teachers",SE.SEC.TCHR,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Arab World,ARB,"Expenditure per student, primary (% of GDP per capita)",SE.XPD.PRIM.PC.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Arab World,ARB,"Expenditure per student, secondary (% of GDP per capita)",SE.XPD.SECO.PC.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Arab World,ARB,"Expenditure per student, tertiary (% of GDP per capita)",SE.XPD.TERT.PC.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Arab World,ARB,"Health expenditure, total (% of GDP)",SH.XPD.TOTL.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.963174544,3.917022434,4.064591261,4.369757162,4.414547565,4.155046577,4.527399891,4.497603047,4.377958925,4.089111155,3.763393192,3.652136879,3.768475837,3.664027644,4.728689946,4.735693064,
Arab World,ARB,Present value of external debt (% of GNI),DT.DOD.PVLX.GN.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Arab World,ARB,Interest payments on external debt (% of GNI),DT.INT.DECT.GN.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Arab World,ARB,External debt stocks (% of GNI),DT.DOD.DECT.GN.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Arab World,ARB,Total debt service (% of GNI),DT.TDS.DECT.GN.ZS,,,,,,,,,2.390378556,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.201012076,
Arab World,ARB,GNI per capita (constant LCU),NY.GNP.PCAP.KN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Arab World,ARB,GNI per capita (constant 2000 US$),NY.GNP.PCAP.KD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2492.162699,2544.584995,2518.930324,2559.300787,2559.905459,2536.924009,2623.754318,2738.166767,2832.875186,2916.471024,2967.902584,,,,
Argentina,ARG,"Primary education, teachers",SE.PRM.TCHR,,,,,,,,,175929,181230,184508,183796,185566,195997,199256,199384,204524,206275,193640,200388,206535,212932,218520,229715,238818,252259,259579,,,,,,295488,,,309162,,221495,244412,274580,283403,269588,274232,279349,286782,302654,288776,,,
Argentina,ARG,"Secondary education, teachers",SE.SEC.TCHR,,,,,,,,,134264,137256,141197,148483,155480,161859,169704,173714,173041,178681,,,,193551,213961,230093,238211,265054,278196,,,,,,238791,,,,,,311323,223367,229159,241612,254065,256884,272904,285764,323957,,,
Argentina,ARG,"Expenditure per student, primary (% of GDP per capita)",SE.XPD.PRIM.PC.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10.96268218,12.87452,12.77052,14.37068,11.22313,10.92388,11.30769,12.02132,13.17944,14.63957,15.94557,16.84116,,
Argentina,ARG,"Expenditure per student, secondary (% of GDP per capita)",SE.XPD.SECO.PC.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,15.13034917,18.23305,17.61911,18.90266,16.9411,14.30438,15.65612,19.60804,20.2606,21.85452,23.77231,27.06579,,
Argentina,ARG,"Expenditure per student, tertiary (% of GDP per capita)",SE.XPD.TERT.PC.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,20.2150791,17.69166,17.7225,16.09972,13.0572,10.34781,11.77389,,14.20866,15.59024,16.5318,19.06417,,
Argentina,ARG,"Health expenditure, total (% of GDP)",SH.XPD.TOTL.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8.310988609,8.024993358,8.172195199,8.304444224,9.105433393,8.950269102,9.408642015,8.315845325,8.307577416,8.323067508,8.45393086,8.453822651,8.437183523,8.444362789,9.525409459,8.096118769,
Argentina,ARG,Present value of external debt (% of GNI),DT.DOD.PVLX.GN.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,37.47621171,
Argentina,ARG,Interest payments on external debt (% of GNI),DT.INT.DECT.GN.ZS,,,,,,,,,1.112466977,1.018332307,1.072664798,0.873608877,0.710193699,0.935736013,0.954660492,1.026290694,1.324640862,1.394581787,3.053420645,4.477928978,4.51506197,5.542270315,6.088651629,6.204529408,4.237830338,3.828681874,2.570879885,3.032246222,2.009476475,1.584812185,1.258471808,1.391162787,1.511945707,2.100322394,2.309441836,2.550610092,3.025308987,3.644120586,4.035079396,1.78695734,2.22019955,1.705096182,1.638080541,1.67764311,1.904963509,1.477074823,0.966890305,1.123039235,1.016589208,
Argentina,ARG,External debt stocks (% of GNI),DT.DOD.DECT.GN.ZS,,,,,,,,,19.11336433,18.58610765,19.80463737,13.69965626,10.49566942,14.53011985,18.12724722,20.31493054,23.00221592,30.52744964,35.59865462,46.37762569,55.03797127,46.82231363,65.14516055,60.8872864,49.51730496,55.17890881,48.73769324,92.93233192,46.04709622,35.57419865,30.43775037,27.57086305,29.47019398,38.85814447,41.65104813,44.13184249,47.94757038,50.84343867,50.9346491,56.94244363,153.2348632,131.779059,112.5975381,70.75720427,55.46777876,45.91489811,37.21405089,40.41232799,36.14496314,
